Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version
ENSG00000179094,ENSG00000179094.16,ENST00000354903,ENST00000354903.9
ENSG00000140464,ENSG00000140464.20,ENST00000569477,ENST00000569477.5
ENSG00000134640,ENSG00000134640.3,ENST00000257068,ENST00000257068.3
ENSG00000005810,ENSG00000005810.20,ENST00000544440,ENST00000544440.7
ENSG00000126368,ENSG00000126368.6,ENST00000246672,ENST00000246672.4
ENSG00000140464,ENSG00000140464.20,ENST00000564428,ENST00000564428.5
ENSG00000105835,ENSG00000105835.13,ENST00000222553,ENST00000222553.8
ENSG00000142156,ENSG00000142156.16,ENST00000361866,ENST00000361866.8
ENSG00000134852,ENSG00000134852.15,ENST00000513440,ENST00000513440.6
ENSG00000064300,ENSG00000064300.9,ENST00000172229,ENST00000172229.8
ENSG00000198894,ENSG00000198894.8,ENST00000557115,ENST00000557115.5
ENSG00000172977,ENSG00000172977.13,ENST00000341318,ENST00000341318.9
ENSG00000173933,ENSG00000173933.21,ENST00000396053,ENST00000396053.9
ENSG00000157017,ENSG00000157017.16,ENST00000429122,ENST00000429122.1
ENSG00000141510,ENSG00000141510.19,ENST00000619485,ENST00000619485.4
ENSG00000121671,ENSG00000121671.12,ENST00000616080,ENST00000616080.2
ENSG00000157017,ENSG00000157017.16,ENST00000287656,ENST00000287656.11
ENSG00000109339,ENSG00000109339.24,ENST00000639234,ENST00000639234.1
ENSG00000134107,ENSG00000134107.5,ENST00000256495,ENST00000256495.4
ENSG00000172977,ENSG00000172977.13,ENST00000530446,ENST00000530446.5
ENSG00000114062,ENSG00000114062.22,ENST00000428984,ENST00000428984.6
ENSG00000109670,ENSG00000109670.17,ENST00000603548,ENST00000603548.6
ENSG00000109339,ENSG00000109339.24,ENST00000642103,ENST00000642103.1
ENSG00000186298,ENSG00000186298.12,ENST00000335007,ENST00000335007.10
ENSG00000181788,ENSG00000181788.4,ENST00000312960,ENST00000312960.4
ENSG00000134107,ENSG00000134107.5,ENST00000256495,ENST00000256495.4
ENSG00000132326,ENSG00000132326.13,ENST00000707129,ENST00000707129.1
ENSG00000126368,ENSG00000126368.6,ENST00000246672,ENST00000246672.4
ENSG00000213639,ENSG00000213639.11,ENST00000395366,ENST00000395366.3
ENSG00000132326,ENSG00000132326.13,ENST00000707130,ENST00000707130.1
ENSG00000141510,ENSG00000141510.19,ENST00000610538,ENST00000610538.4
ENSG00000105835,ENSG00000105835.13,ENST00000222553,ENST00000222553.8
ENSG00000186298,ENSG00000186298.12,ENST00000335007,ENST00000335007.10
ENSG00000134852,ENSG00000134852.15,ENST00000381322,ENST00000381322.5
ENSG00000157017,ENSG00000157017.16,ENST00000430179,ENST00000430179.5
ENSG00000170955,ENSG00000170955.10,ENST00000303927,ENST00000303927.4
ENSG00000140464,ENSG00000140464.20,ENST00000354026,ENST00000354026.10
ENSG00000173914,ENSG00000173914.12,ENST00000310046,ENST00000310046.9
ENSG00000155090,ENSG00000155090.15,ENST00000285407,ENST00000285407.11
ENSG00000137252,ENSG00000137252.10,ENST00000370862,ENST00000370862.4
ENSG00000268480,ENSG00000268480.4,ENST00000691075,ENST00000691075.1
ENSG00000149295,ENSG00000149295.14,ENST00000538967,ENST00000538967.5
ENSG00000132382,ENSG00000132382.15,ENST00000381556,ENST00000381556.6
ENSG00000105835,ENSG00000105835.13,ENST00000680584,ENST00000680584.1
ENSG00000114062,ENSG00000114062.22,ENST00000649550,ENST00000649550.1
ENSG00000069667,ENSG00000069667.16,ENST00000335670,ENST00000335670.11
ENSG00000141027,ENSG00000141027.23,ENST00000268712,ENST00000268712.8
ENSG00000179094,ENSG00000179094.16,ENST00000354903,ENST00000354903.9
ENSG00000140464,ENSG00000140464.20,ENST00000569965,ENST00000569965.5
ENSG00000101945,ENSG00000101945.17,ENST00000337852,ENST00000337852.10
ENSG00000133794,ENSG00000133794.20,ENST00000403510,ENST00000403510.8
ENSG00000138668,ENSG00000138668.20,ENST00000503822,ENST00000503822.2
ENSG00000132326,ENSG00000132326.13,ENST00000254657,ENST00000254657.8
ENSG00000151014,ENSG00000151014.6,ENST00000280614,ENST00000280614.4
ENSG00000179094,ENSG00000179094.16,ENST00000317276,ENST00000317276.9
ENSG00000147140,ENSG00000147140.17,ENST00000276079,ENST00000276079.13
ENSG00000151014,ENSG00000151014.6,ENST00000280614,ENST00000280614.4
ENSG00000007171,ENSG00000007171.19,ENST00000313735,ENST00000313735.11
ENSG00000123095,ENSG00000123095.6,ENST00000242728,ENST00000242728.5
ENSG00000166049,ENSG00000166049.11,ENST00000370357,ENST00000370357.5
ENSG00000169375,ENSG00000169375.17,ENST00000565264,ENST00000565264.2
ENSG00000029153,ENSG00000029153.15,ENST00000266503,ENST00000266503.10
ENSG00000111602,ENSG00000111602.12,ENST00000553532,ENST00000553532.6
ENSG00000253729,ENSG00000253729.9,ENST00000314191,ENST00000314191.7
ENSG00000158941,ENSG00000158941.17,ENST00000308511,ENST00000308511.9
ENSG00000109819,ENSG00000109819.9,ENST00000264867,ENST00000264867.7
ENSG00000180530,ENSG00000180530.11,ENST00000400202,ENST00000400202.5
ENSG00000181788,ENSG00000181788.4,ENST00000312960,ENST00000312960.4
ENSG00000179094,ENSG00000179094.16,ENST00000317276,ENST00000317276.9
ENSG00000116478,ENSG00000116478.12,ENST00000373548,ENST00000373548.8
ENSG00000173933,ENSG00000173933.21,ENST00000310092,ENST00000310092.12
ENSG00000165819,ENSG00000165819.12,ENST00000298717,ENST00000298717.9
ENSG00000133256,ENSG00000133256.13,ENST00000429163,ENST00000429163.6
ENSG00000169760,ENSG00000169760.18,ENST00000457714,ENST00000457714.5
ENSG00000134852,ENSG00000134852.15,ENST00000513440,ENST00000513440.6
ENSG00000109339,ENSG00000109339.24,ENST00000641943,ENST00000641943.1
ENSG00000064300,ENSG00000064300.9,ENST00000504201,ENST00000504201.1
ENSG00000147140,ENSG00000147140.17,ENST00000677274,ENST00000677274.1
ENSG00000008405,ENSG00000008405.12,ENST00000008527,ENST00000008527.10
ENSG00000121671,ENSG00000121671.12,ENST00000417225,ENST00000417225.6
ENSG00000173120,ENSG00000173120.15,ENST00000398645,ENST00000398645.6
ENSG00000128272,ENSG00000128272.18,ENST00000674835,ENST00000674835.2
ENSG00000109339,ENSG00000109339.24,ENST00000641157,ENST00000641157.1
ENSG00000133794,ENSG00000133794.20,ENST00000389707,ENST00000389707.8
ENSG00000179094,ENSG00000179094.16,ENST00000317276,ENST00000317276.9
ENSG00000086758,ENSG00000086758.17,ENST00000342160,ENST00000342160.7
ENSG00000143365,ENSG00000143365.20,ENST00000356728,ENST00000356728.11
ENSG00000204640,ENSG00000204640.1,ENST00000376865,ENST00000376865.1
ENSG00000213639,ENSG00000213639.11,ENST00000703173,ENST00000703173.1
ENSG00000141510,ENSG00000141510.19,ENST00000620739,ENST00000620739.4
